	gene_type
0	processed_pseudogene
1	snRNA
2	processed_pseudogene
3	protein_coding
4	antisense
5	unprocessed_pseudogene
6	unprocessed_pseudogene
7	antisense
8	protein_coding
9	protein_coding
10	processed_pseudogene
11	processed_pseudogene
12	snoRNA
13	processed_pseudogene
14	lincRNA
15	antisense
16	antisense
17	processed_pseudogene
18	protein_coding
19	antisense
20	protein_coding
21	protein_coding
22	antisense
23	miRNA
24	protein_coding
25	antisense
26	rRNA_pseudogene
27	unprocessed_pseudogene
28	transcribed_unitary_pseudogene
29	snRNA
30	processed_pseudogene
31	processed_pseudogene
32	snRNA
33	protein_coding
34	processed_pseudogene
35	lincRNA
36	misc_RNA
37	protein_coding
38	snRNA
39	protein_coding
40	processed_pseudogene
41	lincRNA
42	processed_pseudogene
43	protein_coding
44	lincRNA
45	processed_pseudogene
46	processed_pseudogene
47	sense_intronic
48	misc_RNA
49	lincRNA
50	antisense
51	antisense
52	misc_RNA
53	unprocessed_pseudogene
54	unprocessed_pseudogene
55	snRNA
56	lincRNA
57	unprocessed_pseudogene
58	lincRNA
59	lincRNA
60	protein_coding
61	processed_pseudogene
62	TEC
63	snRNA
64	protein_coding
65	miRNA
66	processed_pseudogene
67	processed_pseudogene
68	protein_coding
69	lincRNA
70	protein_coding
71	processed_pseudogene
72	protein_coding
73	antisense
74	snRNA
75	protein_coding
76	TEC
77	miRNA
78	rRNA_pseudogene
79	misc_RNA
80	rRNA_pseudogene
81	misc_RNA
82	lincRNA
83	protein_coding
84	protein_coding
85	unprocessed_pseudogene
86	antisense
87	rRNA_pseudogene
88	processed_pseudogene
89	lincRNA
90	snRNA
91	protein_coding
92	processed_pseudogene
93	protein_coding
94	protein_coding
95	protein_coding
96	processed_pseudogene
97	transcribed_unitary_pseudogene
98	lincRNA
99	protein_coding
100	misc_RNA
101	antisense
102	protein_coding
103	transcribed_processed_pseudogene
104	rRNA_pseudogene
105	lincRNA
106	processed_pseudogene
107	antisense
108	lincRNA
109	processed_pseudogene
110	protein_coding
111	processed_pseudogene
112	lincRNA
113	snRNA
114	lincRNA
115	protein_coding
116	lincRNA
117	processed_pseudogene
118	lincRNA
119	miRNA
120	lincRNA
121	processed_pseudogene
122	lincRNA
123	transcribed_processed_pseudogene
124	protein_coding
125	processed_pseudogene
126	misc_RNA
127	lincRNA
128	lincRNA
129	processed_pseudogene
130	transcribed_unprocessed_pseudogene
131	antisense
132	lincRNA
133	protein_coding
134	unprocessed_pseudogene
135	protein_coding
136	processed_pseudogene
137	protein_coding
